kecamatanp,cowok,cewek,kecamatanl
KERUAK,14455,11869,KERUAK LAKI
SAKRA,16871,13761,SAKRA LAKI
TERARA,18473,14374,TERARA LAKI
SIKUR,19399,15256,SIKUR LAKI
MASBAGIK,26834,21001,MASBAGIK LAKI
SUKAMULIA,9459,7794,SUKAMULIA LAKI
SELONG,23303,19712,SELONG LAKI
PRINGGABAYA,28204,23175,PRINGGABAYA LAKI
AIKMEL,18078,14370,AIKMEL LAKI
SAMBELIA,8582,7003,SAMBELIA LAKI
MONTONG GADING,11874,9171,MONTONG GADING LAKI
PRINGGASELA,15897,12405,PRINGGASELA LAKI
SURALAGA,16284,13661,SURALAGA LAKI
WANASABA,16516,13687,WANASABA LAKI
SEMBALUN,5385,4303,SEMBALUN LAKI
SUELA,10948,8650,SUELA LAKI
LABUHAN HAJI,16261,13399,LABUHAN HAJI LAKI
SAKRA TIMUR,13088,10532,SAKRA TIMUR LAKI
SAKRA BARAT,14890,11972,SAKRA BARAT LAKI
JEROWARU,14485,12009,JEROWARU LAKI
LENEK,10283,8420,LENEK LAKI
